lat,lon,day_of_year,sst,ssh,sss,temp_50m,temp_100m,temp_200m,temp_500m,is_synthetic,source_region
-1.24,56.72,274,28.31,0.796,34.97,26.88,24.23,20.21,15.12,True,Wider Indian Ocean (buffer around India)
8.22,91.97,196,29.02,0.792,34.78,28.19,25.32,21.63,17.04,True,Bay of Bengal
13.27,96.12,243,27.12,0.68,34.75,26.05,23.51,19.48,14.06,True,Bay of Bengal
11.68,60.81,244,27.89,0.71,35.08,27.05,23.79,19.72,14.63,True,Arabian Sea
-4.9,58.72,24,30.55,0.833,34.87,29.14,26.25,22.11,16.09,True,Wider Indian Ocean (buffer around India)
11.43,62.33,326,28.15,0.718,34.93,27.1,23.92,20.19,14.4,True,Arabian Sea
14.6,71.6,288,27.39,0.692,35.17,26.49,24.02,19.78,14.19,True,Arabian Sea
13.25,70.48,42,28.64,0.668,35.17,27.64,24.38,19.94,14.24,True,Arabian Sea
11.16,48.12,252,27.53,0.757,34.67,26.64,23.58,19.56,13.58,True,Wider Indian Ocean (buffer around India)
13.47,93.28,286,27.53,0.664,34.7,26.42,23.76,19.23,13.51,True,Bay of Bengal
14.62,65.63,233,27.56,0.644,35.25,26.58,24.02,19.47,14.58,True,Wider Indian Ocean (buffer around India)
21.66,83.34,269,26.66,0.678,34.91,25.58,22.32,18.47,13.39,True,Bay of Bengal
-1.92,80.48,233,28.7,0.705,34.92,27.43,24.87,20.75,15.17,True,Wider Indian Ocean (buffer around India)
15.85,94.44,279,27.24,0.747,34.82,26.2,23.19,19.33,14.16,True,Bay of Bengal
15.17,66.68,233,27.14,0.608,35.13,26.02,23.14,19.1,13.17,True,Arabian Sea
17.02,65.06,235,27.46,0.634,35.15,26.48,23.67,19.88,14.27,True,Wider Indian Ocean (buffer around India)
8.71,69.08,102,30.6,0.714,35.28,29.72,26.82,22.86,17.59,True,Arabian Sea
13.2,84.3,117,29.99,0.779,34.91,29.15,25.88,22.01,16.42,True,Bay of Bengal
12.98,76.86,239,27.2,0.711,34.93,26.08,23.71,19.94,14.14,True,Arabian Sea
14.43,54.17,228,28.53,0.778,34.79,27.65,24.76,20.64,15.48,True,Wider Indian Ocean (buffer around India)
19.77,84.21,52,29.32,0.75,34.82,28.55,25.68,21.4,15.76,True,Bay of Bengal
11.9,71.09,154,29.02,0.713,35.19,28.22,25.59,21.93,16.49,True,Arabian Sea
10.65,60.87,330,27.95,0.632,35.12,27.05,23.93,19.85,14.44,True,Arabian Sea
15.47,80.43,97,29.39,0.768,35.05,28.53,25.69,21.88,16.15,True,Wider Indian Ocean (buffer around India)
16.79,66.97,197,27.69,0.686,35.06,26.65,23.58,20.31,14.86,True,Arabian Sea
8.73,89.37,295,28.36,0.718,34.71,27.03,24.09,19.86,14.46,True,Bay of Bengal
13.99,83.59,46,29.49,0.802,34.96,28.64,25.9,21.91,15.68,True,Bay of Bengal
19.0,76.99,64,29.31,0.716,34.92,28.31,25.51,20.78,15.3,True,Arabian Sea
7.11,56.14,309,28.33,0.768,34.82,27.35,24.79,21.35,16.17,True,Wider Indian Ocean (buffer around India)
1.63,67.83,59,30.59,0.848,35.1,29.17,26.32,21.77,16.49,True,Wider Indian Ocean (buffer around India)
5.91,79.79,357,28.69,0.677,34.91,27.37,24.33,19.45,13.53,True,Wider Indian Ocean (buffer around India)
19.46,52.11,162,28.56,0.703,34.68,27.46,24.53,19.57,14.1,True,Wider Indian Ocean (buffer around India)
15.59,70.37,357,28.11,0.735,35.13,27.28,24.05,19.59,14.27,True,Arabian Sea
3.2,78.38,68,30.35,0.686,35.0,29.05,26.61,22.21,16.83,True,Wider Indian Ocean (buffer around India)
9.63,71.64,359,29.01,0.77,35.28,28.04,24.64,19.84,14.33,True,Arabian Sea
8.32,44.89,74,30.34,0.788,34.68,29.09,26.45,22.29,17.23,True,Wider Indian Ocean (buffer around India)
-0.31,83.33,177,30.25,0.822,34.83,29.28,26.16,22.69,17.42,True,Wider Indian Ocean (buffer around India)
10.1,89.0,297,28.71,0.73,34.66,27.91,25.75,21.69,15.8,True,Bay of Bengal
7.02,77.81,89,30.49,0.847,35.02,29.39,26.26,22.27,17.05,True,Wider Indian Ocean (buffer around India)
13.73,94.48,30,29.16,0.759,34.9,28.03,25.55,20.87,15.31,True,Bay of Bengal
-9.88,41.94,188,30.3,0.702,34.49,29.18,26.27,22.07,16.65,True,Wider Indian Ocean (buffer around India)
24.76,46.1,225,27.03,0.711,34.63,26.68,23.23,19.65,13.74,True,Wider Indian Ocean (buffer around India)
13.24,79.81,74,30.31,0.835,34.9,28.97,26.21,22.21,16.71,True,Wider Indian Ocean (buffer around India)
17.04,64.16,213,27.76,0.635,35.04,26.7,24.05,19.94,14.28,True,Arabian Sea
10.41,74.94,186,29.27,0.781,35.09,28.14,25.2,20.6,14.89,True,Arabian Sea
16.86,72.2,72,29.75,0.77,35.12,28.86,26.25,21.67,16.61,True,Arabian Sea
21.79,69.37,328,27.37,0.67,35.14,26.82,23.99,19.32,13.73,True,Wider Indian Ocean (buffer around India)
21.58,62.81,289,26.96,0.706,34.92,26.17,23.31,19.24,14.2,True,Arabian Sea
21.28,94.46,277,26.72,0.724,34.66,26.12,23.25,19.05,13.88,True,Bay of Bengal
-3.19,60.09,277,29.09,0.647,34.93,27.88,24.65,20.34,14.8,True,Wider Indian Ocean (buffer around India)
21.88,63.39,321,26.38,0.673,35.26,25.26,22.59,18.27,12.46,True,Arabian Sea
10.28,66.9,59,29.24,0.726,35.17,28.5,26.21,22.04,17.0,True,Wider Indian Ocean (buffer around India)
19.12,84.18,189,27.82,0.661,35.0,26.78,23.54,19.99,14.15,True,Bay of Bengal
2.13,54.3,270,28.15,0.802,34.56,26.78,23.84,20.42,15.04,True,Wider Indian Ocean (buffer around India)
13.12,80.91,66,29.62,0.723,35.03,28.28,25.29,20.95,15.18,True,Bay of Bengal
